,Unnamed: 0_x,run,agentID,suspect,victim,thief,DNAatCS,locCS,statement,experiment_name,runs,Unnamed: 0_y,at_least_1_cs_witness,at_least_1_alibi_witness
87,7,8,7,0,0,0,0,0,0,thief,10,87,0,0
88,8,8,8,0,0,0,0,0,0,thief,10,88,0,0
89,9,8,9,0,0,0,0,0,0,thief,10,89,0,0
90,0,9,0,1,0,1,1,1,1,thief,10,90,0,0
91,1,9,1,0,1,0,1,1,1,thief,10,91,1,0
92,2,9,2,0,0,0,0,0,0,thief,10,92,0,0
93,3,9,3,0,0,0,1,0,0,thief,10,93,0,0
94,4,9,4,0,0,0,0,0,0,thief,10,94,0,0
95,5,9,5,0,0,0,0,0,0,thief,10,95,0,0
96,6,9,6,0,0,0,1,0,0,thief,10,96,0,0
97,7,9,7,0,0,0,1,0,0,thief,10,97,0,0
98,8,9,8,0,0,0,0,0,0,thief,10,98,1,0
99,9,9,9,0,0,0,0,0,0,thief,10,99,0,1
