,run,agentID,suspect,victim,thief,DNAatCS,locCS,statement,experiment_name,runs
0,12,0,1,0,1,1,1,1,thief,200
1,12,1,0,0,0,0,0,0,thief,200
2,12,2,0,0,0,0,0,0,thief,200
3,12,3,0,0,0,0,0,0,thief,200
4,12,4,0,0,0,0,0,0,thief,200
5,12,5,0,0,0,0,0,0,thief,200
6,12,6,0,0,0,0,0,0,thief,200
7,12,7,0,0,0,0,0,0,thief,200
8,12,8,0,0,0,0,1,1,thief,200
9,12,9,0,1,0,0,1,1,thief,200
0,13,0,1,0,1,1,0,0,thief,200
1,13,1,0,0,0,0,0,0,thief,200
2,13,2,0,0,0,0,0,0,thief,200
3,13,3,0,0,0,1,0,0,thief,200
4,13,4,0,0,0,0,0,0,thief,200
5,13,5,0,0,0,0,0,0,thief,200
6,13,6,0,0,0,0,0,0,thief,200
7,13,7,0,0,0,0,0,0,thief,200
8,13,8,0,0,0,1,0,0,thief,200
9,13,9,0,0,0,0,0,0,thief,200
0,14,0,1,0,1,1,1,1,thief,200
1,14,1,0,0,0,0,0,0,thief,200
2,14,2,0,0,0,1,0,0,thief,200
3,14,3,0,0,0,0,0,0,thief,200
4,14,4,0,0,0,0,0,0,thief,200
5,14,5,0,0,0,0,0,0,thief,200
6,14,6,0,0,0,0,0,0,thief,200
7,14,7,0,0,0,0,0,0,thief,200
8,14,8,0,1,0,1,1,1,thief,200
9,14,9,0,0,0,0,0,0,thief,200
0,15,0,1,0,1,1,1,1,thief,200
1,15,1,0,0,0,0,1,1,thief,200
2,15,2,0,0,0,0,0,0,thief,200
3,15,3,0,0,0,0,0,0,thief,200
4,15,4,0,0,0,0,0,0,thief,200
5,15,5,0,0,0,0,0,0,thief,200
6,15,6,0,0,0,0,1,1,thief,200
7,15,7,0,0,0,0,0,0,thief,200
8,15,8,0,1,0,0,1,1,thief,200
9,15,9,0,0,0,0,0,0,thief,200
0,16,0,1,0,1,1,1,1,thief,200
1,16,1,0,0,0,0,0,0,thief,200
2,16,2,0,0,0,0,0,0,thief,200
3,16,3,0,0,0,0,0,0,thief,200
4,16,4,0,0,0,0,0,0,thief,200
5,16,5,0,0,0,0,0,0,thief,200
6,16,6,0,0,0,0,0,0,thief,200
7,16,7,0,1,0,1,1,1,thief,200
8,16,8,0,0,0,0,0,0,thief,200
9,16,9,0,0,0,0,0,0,thief,200
0,17,0,1,0,1,1,0,0,thief,200
1,17,1,0,0,0,1,0,0,thief,200
2,17,2,0,0,0,0,0,0,thief,200
3,17,3,0,0,0,0,0,0,thief,200
4,17,4,0,0,0,0,0,0,thief,200
5,17,5,0,0,0,1,0,0,thief,200
6,17,6,0,0,0,1,0,0,thief,200
7,17,7,0,0,0,1,0,0,thief,200
8,17,8,0,0,0,0,0,0,thief,200
9,17,9,0,0,0,1,0,0,thief,200
0,18,0,1,0,1,1,1,1,thief,200
1,18,1,0,0,0,0,0,0,thief,200
2,18,2,0,0,0,1,0,0,thief,200
3,18,3,0,0,0,0,0,0,thief,200
4,18,4,0,1,0,1,1,1,thief,200
5,18,5,0,0,0,0,0,0,thief,200
6,18,6,0,0,0,0,0,0,thief,200
7,18,7,0,0,0,1,0,0,thief,200
8,18,8,0,0,0,0,0,0,thief,200
9,18,9,0,0,0,0,0,0,thief,200
0,19,0,1,0,1,1,0,0,thief,200
1,19,1,0,0,0,1,0,0,thief,200
2,19,2,0,0,0,1,0,0,thief,200
3,19,3,0,0,0,0,0,0,thief,200
4,19,4,0,0,0,0,0,0,thief,200
5,19,5,0,0,0,1,0,0,thief,200
6,19,6,0,0,0,0,0,0,thief,200
7,19,7,0,0,0,1,0,0,thief,200
8,19,8,0,0,0,0,0,0,thief,200
9,19,9,0,0,0,1,0,0,thief,200
0,20,0,1,0,1,1,1,1,thief,200
1,20,1,0,0,0,0,0,0,thief,200
2,20,2,0,1,0,0,1,1,thief,200
3,20,3,0,0,0,0,0,0,thief,200
4,20,4,0,0,0,0,0,0,thief,200
5,20,5,0,0,0,0,0,0,thief,200
6,20,6,0,0,0,0,0,0,thief,200
7,20,7,0,0,0,0,0,0,thief,200
8,20,8,0,0,0,0,0,0,thief,200
9,20,9,0,0,0,0,0,0,thief,200
0,21,0,1,0,1,1,1,1,thief,200
1,21,1,0,0,0,0,0,0,thief,200
2,21,2,0,0,0,1,0,0,thief,200
3,21,3,0,0,0,0,0,0,thief,200
4,21,4,0,0,0,0,0,0,thief,200
5,21,5,0,1,0,0,1,1,thief,200
6,21,6,0,0,0,0,0,0,thief,200
7,21,7,0,0,0,1,0,0,thief,200
8,21,8,0,0,0,0,0,0,thief,200
9,21,9,0,0,0,1,0,0,thief,200
0,22,0,1,0,1,1,0,0,thief,200
1,22,1,0,0,0,1,0,0,thief,200
2,22,2,0,0,0,1,0,0,thief,200
3,22,3,0,0,0,1,0,0,thief,200
4,22,4,0,0,0,0,0,0,thief,200
5,22,5,0,0,0,1,0,0,thief,200
6,22,6,0,0,0,1,0,0,thief,200
7,22,7,0,0,0,1,0,0,thief,200
8,22,8,0,0,0,0,0,0,thief,200
9,22,9,0,0,0,1,0,0,thief,200
0,23,0,1,0,1,1,1,1,thief,200
1,23,1,0,0,0,0,0,0,thief,200
2,23,2,0,0,0,0,0,0,thief,200
3,23,3,0,0,0,0,0,0,thief,200
4,23,4,0,1,0,1,1,1,thief,200
5,23,5,0,0,0,0,0,0,thief,200
6,23,6,0,0,0,0,0,0,thief,200
7,23,7,0,0,0,0,0,0,thief,200
8,23,8,0,0,0,0,0,0,thief,200
9,23,9,0,0,0,0,0,0,thief,200
0,24,0,1,0,1,1,1,1,thief,200
1,24,1,0,0,0,0,0,0,thief,200
2,24,2,0,1,0,0,1,1,thief,200
3,24,3,0,0,0,0,0,0,thief,200
